카테고리,브랜드,제품명,추천대상_피부고민,핵심포인트,상품링크
세럼/앰플,마녀공장(ma:nyo),갈락 나이아신 2.0 에센스,칙칙한톤/요철,맑고 투명한 피부톤과 매끈한 결 케어,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=갈락+나이아신+2.0+에센스
세럼/앰플,라운드랩(ROUND LAB),소나무 진정 시카 앰플,민감성/열감,소나무 잎 추출물로 자극받은 피부 강력 진정,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=소나무+진정+시카+앰플
세럼/앰플,메디힐(MEDIHEAL),티트리 진정 수분 앰플,트러블/지성,끈적임 없이 산뜻한 50초 급속 진정,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=티트리+진정+수분+앰플
세럼/앰플,CNP,프로폴리스 에너지 앰플,생기부족/건조,피부 윤기와 보습을 챙겨주는 꿀광 앰플의 원조,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=프로폴리스+에너지+앰플
세럼/앰플,성분에디터(SUNGBOON EDITOR),그린토마토 포어 리프팅 앰플,모공늘어짐,가로/세로/멜라닌 모공까지 3중 복합 케어,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=그린토마토+포어+리프팅+앰플
로션/에멀전,에스트라(AESTURA),아토베리어365 로션,건성/장벽약화,크림보다 가볍지만 강력한 고보습 세라마이드,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=아토베리어365+로션
로션/에멀전,일리윤(illiyoon),세라마이드 아토 로션,전신/극건성,온 가족이 쓰는 순한 무향 바디겸용 보습,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=세라마이드+아토+로션
로션/에멀전,피지오겔(PHYSIOGEL),DMT 페이셜 로션,민감성/건조,피부 본연의 보습막을 강화하는 베이직 로션,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=DMT+페이셜+로션
로션/에멀전,라운드랩(ROUND LAB),1025 독도 로션,수부지/민감성,산뜻하게 수분만 채워주는 유수분 밸런스 조절,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=1025+독도+로션
로션/에멀전,라네즈(LANEIGE),워터뱅크 블루 히알루로닉 에멀전,건조함,미세 히알루론산으로 겉보습과 속보습 듀얼 케어,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=워터뱅크+블루+히알루로닉+에멀전
크림,닥터지(Dr.G),레드 블레미쉬 클리어 수딩 크림,지성/트러블,끈적임 없이 열감을 낮춰주는 수분 젤 크림 1위,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=레드+블레미쉬+클리어+수딩+크림
크림,에스트라(AESTURA),아토베리어365 크림,건성/장벽파괴,캡슐 세라마이드가 녹아드는 철벽 보습,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=아토베리어365+크림
크림,라운드랩(ROUND LAB),자작나무 수분 크림,수부지/속건조,청량하고 산뜻한 수분 캡슐로 메이크업 찰떡,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=자작나무+수분+크림
크림,토리든(Torriden),다이브인 수딩 크림,복합성,물방울 터지듯 가볍게 스며드는 수분막,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=다이브인+수딩+크림
크림,바이오더마(BIODERMA),아토덤 인텐시브 밤,극건성/가려움,악건성 피부를 위한 진한 영양의 고보습 밤,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=아토덤+인텐시브+밤
크림,리얼베리어(Real Barrier),익스트림 크림,손상장벽,실제 피부 지질 성분과 유사한 MLE 크림,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=익스트림+크림
크림,코스알엑스(COSRX),어드벤스드 스네일 92 올인원 크림,탄력저하,달팽이 점액 여과물로 쫀득하고 깊은 영양,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=어드벤스드+스네일+92+올인원+크림
크림,센텔리안24(CENTELLIAN24),마데카 크림 타임 리버스,탄력/노화,동국제약 TECA 성분으로 토탈 안티에이징,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=마데카+크림+타임+리버스
크림,일리윤(illiyoon),세라마이드 아토 집중 크림,각질/건조,가성비 훌륭한 고보습 캡슐 크림,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=세라마이드+아토+집중+크림
크림,에스네이처(S.NATURE),아쿠아 스쿠알란 수분크림,수부지/좁쌀,피지 조절과 맑은 수분 공급을 동시에,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=아쿠아+스쿠알란+수분크림
립(틴트/밤),롬앤(rom&nd),쥬시 래스팅 틴트,탕후루광/볼륨,과즙 터지는 맑은 광택과 선명한 컬러감,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=쥬시+래스팅+틴트
립(틴트/밤),페리페라(peripera),잉크 무드 글로이 틴트,촉촉/물먹립,끈적임 없이 맑게 차오르는 예쁜 수분광,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=잉크+무드+글로이+틴트
립(틴트/밤),라카(Laka),프루티 글램 틴트,생기/광택,맑고 청량한 발색과 우수한 착색력,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=프루티+글램+틴트
립(틴트/밤),어뮤즈(AMUSE),젤핏 틴트,탱글함/지속력,젤리처럼 쫀득하고 도톰하게 차오르는 텍스처,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=젤핏+틴트
립(틴트/밤),웨이크메이크(WAKEMAKE),워터 블러링 픽싱 틴트,보송/블러,물처럼 촉촉하게 발리고 보송하게 픽싱,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=워터+블러링+픽싱+틴트
립(틴트/밤),데이지크(dasique),워터 블러 틴트,매트/지속력,수분감 있게 발리는 얇고 편안한 반전 매트 틴트,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=워터+블러+틴트
립(틴트/밤),롬앤(rom&nd),블러 퍼지 틴트,무광/그라데이션,포슬포슬한 질감으로 스머징하기 좋은 무광 틴트,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=블러+퍼지+틴트
립(틴트/밤),쓰리씨이(3CE),블러 워터 틴트,워터겔/보송,묻어남이 적고 뽀얀 필터 씌운 듯한 매끈한 립,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=블러+워터+틴트
립(틴트/밤),에뛰드(ETUDE),픽싱 틴트,마스크프루프,안 묻어나는 매트 틴트의 정석으로 미친 지속력,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=픽싱+틴트
립(틴트/밤),무지개맨션(MUZIGAE MANSION),오브제 리퀴드,감성/벨벳,오브제 같은 패키지와 고급스러운 비건 벨벳 텍스처,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=오브제+리퀴드
